VEC_X;VEC_Y;TILE_M;TILE_N;TILE_K;ms
2;2;2;16;4;67.5138
2;2;2;32;4;95.6816
2;2;4;8;4;123.254
2;2;4;16;4;68.3843
2;2;4;32;4;50.9522
2;2;8;8;4;67.0517
2;2;8;16;4;46.7094
2;2;8;32;4;47.5886
2;2;16;16;4;49.1097
2;2;16;32;4;51.2372
2;2;32;32;4;88.1635
3;2;2;16;4;121.996
3;2;2;32;4;71.3904
3;2;4;8;4;86.1004
3;2;4;16;4;52.0979
3;2;4;32;4;45.2938
3;2;8;8;4;50.7617
3;2;8;16;4;39.7759
3;2;8;32;4;40.1785
3;2;16;16;4;39.831
3;2;16;32;4;43.0219
3;2;32;32;4;76.3045
4;2;2;16;4;94.4643
4;2;2;32;4;59.8796
4;2;4;8;4;66.5126
4;2;4;16;4;42.6971
4;2;4;32;4;38.0289
4;2;8;8;4;39.2034
4;2;8;16;4;30.9857
4;2;8;32;4;30.6364
4;2;16;16;4;28.3441
4;2;16;32;4;31.0718
4;2;32;32;4;53.3522
3;3;2;16;4;82.4091
3;3;2;32;4;51.0658
3;3;4;8;4;60.372
3;3;4;16;4;39.1743
3;3;4;32;4;33.695
3;3;8;8;4;38.0186
3;3;8;16;4;28.7708
3;3;8;32;4;30.0777
3;3;16;16;4;29.5851
3;3;16;32;4;29.6045
3;3;32;32;4;53.4547
4;3;2;16;4;67.5574
4;3;2;32;4;42.8998
4;3;4;8;4;50.0764
4;3;4;16;4;31.6065
4;3;4;32;4;29.0593
4;3;8;8;4;30.5108
4;3;8;16;4;23.3009
4;3;8;32;4;24.518
4;3;16;16;4;22.824
4;3;16;32;4;24.7073
4;3;32;32;4;41.4832
4;4;2;16;4;53.4396
4;4;2;32;4;37.2042
4;4;4;8;4;38.6357
4;4;4;16;4;25.7467
4;4;4;32;4;22.6938
4;4;8;8;4;26.5188
4;4;8;16;4;19.8477
4;4;8;32;4;18.0313
4;4;16;16;4;21.5428
4;4;16;32;4;20.2444
4;4;32;32;4;33.7976
2;2;2;16;8;145.322
2;2;2;32;8;82.0951
2;2;4;8;8;91.9095
2;2;4;16;8;52.9821
2;2;4;32;8;41.8709
2;2;8;8;8;40.7835
2;2;8;16;8;34.05
2;2;8;32;8;33.5468
2;2;16;16;8;32.4269
2;2;16;32;8;33.3042
2;2;32;32;8;55.6482
3;2;2;16;8;104.316
3;2;2;32;8;68.6862
3;2;4;8;8;67.936
3;2;4;16;8;47.9408
3;2;4;32;8;44.282
3;2;8;8;8;40.0609
3;2;8;16;8;36.5091
3;2;8;32;8;36.7128
3;2;16;16;8;33.5932
3;2;16;32;8;36.326
3;2;32;32;8;53.3964
4;2;2;16;8;84.6662
4;2;2;32;8;58.0159
4;2;4;8;8;54.5297
4;2;4;16;8;35.822
4;2;4;32;8;34.5716
4;2;8;8;8;30.0133
4;2;8;16;8;26.2637
4;2;8;32;8;27.1604
4;2;16;16;8;23.2316
4;2;16;32;8;25.4669
4;2;32;32;8;38.039
3;3;2;16;8;77.3416
3;3;2;32;8;48.641
3;3;4;8;8;46.526
3;3;4;16;8;34.3044
3;3;4;32;8;31.5863
3;3;8;8;8;30.3518
3;3;8;16;8;28.0227
3;3;8;32;8;26.329
3;3;16;16;8;24.9267
3;3;16;32;8;26.4056
