TILE_M;TILE_N;TILE_K;VEC_X;VEC_Y;ms;ms_padded
8;8;16;4;4;17.9507;15.8986
8;8;16;4;8;14.0268;12.3177
8;8;16;4;16;13.7554;13.0806
8;8;16;8;4;19.3495;17.3945
8;8;16;8;8;13.8107;11.993
8;8;16;8;16;13.6417;10.7479
8;8;16;16;4;33.794;28.2081
8;8;16;16;8;19.4959;16.8868
8;8;16;16;16;232.842;228.969
8;8;32;4;4;17.4643;14.294
8;8;32;4;8;15.195;10.964
8;8;32;4;16;17.4856;11.4043
8;8;32;8;4;19.8564;16.4863
8;8;32;8;8;14.0653;10.7793
8;8;32;8;16;15.0446;11.8559
8;8;32;16;4;34.4328;29.2751
8;8;32;16;8;19.6708;16.5069
8;8;32;16;16;208.515;192.735
8;8;48;4;4;23.2509;14.1548
8;8;48;4;8;20.4759;11.8065
8;8;48;4;16;19.668;12.7334
8;8;48;8;4;21.846;17.3302
8;8;48;8;8;19.3864;12.9043
8;8;48;8;16;21.2972;16.4628
8;8;48;16;4;34.5057;27.5507
8;8;48;16;8;25.5048;20.4275
8;8;64;4;4;30.3132;15.8679
8;8;64;4;8;30.5193;15.957
8;8;64;4;16;25.4913;16.2621
8;8;64;8;4;32.5867;18.2426
8;8;64;8;8;19.383;12.1508
8;8;64;16;4;37.7518;31.7723
8;16;16;4;4;16.084;12.8932
8;16;16;4;8;11.817;10.6895
8;16;16;4;16;11.3091;9.29382
8;16;16;8;4;18.0705;16.6871
8;16;16;8;8;12.5747;11.861
8;16;16;8;16;13.2547;10.5247
8;16;16;16;4;35.2367;30.9453
8;16;16;16;8;19.9534;16.4096
8;16;16;16;16;214.126;213.972
8;16;32;4;4;15.1377;11.6234
8;16;32;4;8;11.7955;8.92518
8;16;32;4;16;12.7826;9.75974
8;16;32;8;4;20.9541;16.0297
8;16;32;8;8;11.7965;9.91846
8;16;32;8;16;12.6771;10.1118
8;16;32;16;4;35.7581;30.4579
8;16;32;16;8;20.4564;17.5196
8;16;48;4;4;16.0481;12.9741
8;16;48;4;8;17.6271;9.79254
8;16;48;4;16;16.3041;9.29178
8;16;48;8;4;19.2205;16.2824
8;16;48;8;8;17.28;11.8979
8;16;64;4;4;22.021;11.9306
8;16;64;4;8;17.0179;10.2441
8;16;64;8;4;24.3618;17.0926
8;32;16;4;4;14.6227;13.8187
8;32;16;4;8;11.3449;9.83859
8;32;16;4;16;10.3383;9.12557
8;32;16;8;4;20.616;19.6403
8;32;16;8;8;13.9151;12.0914
8;32;16;8;16;12.8891;12.0605
8;32;16;16;4;39.388;39.6911
8;32;16;16;8;23.2335;21.3626
8;32;16;16;16;235.06;236.215
8;32;32;4;4;15.6611;14.2602
8;32;32;4;8;11.8157;10.8338
8;32;32;4;16;10.9896;10.1222
8;32;32;8;4;22.8065;19.6597
8;32;32;8;8;13.6192;12.4498
8;32;48;4;4;14.4466;12.7734
8;32;48;4;8;14.0182;9.51187
8;32;64;4;4;17.5491;12.6034
16;8;16;4;4;14.8765;13.6067
16;8;16;4;8;13.1594;11.7105
16;8;16;4;16;13.0755;12.8328
